PropertyType,PropertyTypeId,PropertyPriceTypeId,Latitude,Longtitude,CityId,CountyId,DistrictId,NetArea,ExtraArea,BrutArea,RealtyPrice,Room,LivingRoom,Bahtroom,TotalRooms,FloorCount,FloorNumber,Age,Heating,BuildDate,FrontageNorth,FrontageSouth,FrontageEast,FrontageWest,AttributeMainRoad,AttributeWideRoad,AttributeEstateHousing,AttributeSportComplex,AttributePlayGround,AttributeElevator,AttributeGenerator,AttributeGateKeeper,AttributeSecurity,AttributeParkingAreaOutdoor,AttributeParkingAreaIndoor,AttributeSwimmingPoolOutdoor,AttributeSwimmingPoolIndoor,AttributeHeatIsolation,AttributeAirCondition,AttributeFirePlace,AttributeTerrace,AttributeMinibus,AttributeBusStop,ViewCity,ViewNature,ViewLake
0,2,1,39.9775476160649,32.7096033096313,6,1723,1875,98,0,115,112000,3,1,1,4,6,0,22,50,1998,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,1,39.9787314970689,32.7094745635986,6,1723,1875,93,0,110,112000,3,1,1,4,5,0,22,50,1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0,2,1,39.9789123659718,32.7096998691558,6,1723,1875,93,0,110,112000,3,1,1,4,7,0,22,50,1998,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0,2,1,39.9785440095793,32.7090339069187,6,1723,1875,83,0,100,113000,3,1,1,4,7,1,20,50,2000,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0,2,1,39.9785111241825,32.7098922138035,6,1723,1875,83,0,100,113000,3,1,1,4,6,1,19,50,2001,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0,2,1,39.9756402090842,32.7085304260254,6,1723,1875,88,0,105,114000,3,1,1,4,5,1,17,50,2003,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0,2,1,39.978509520943,32.7056765556335,6,1723,1875,83,0,100,114000,3,1,1,4,4,1,22,50,1998,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,2,1,39.9788070921834,32.7090339069187,6,1723,1875,93,0,110,115000,3,1,1,4,7,1,22,50,1998,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,2,1,39.9797509337207,32.7060627937316,6,1723,1875,100,0,117,115000,3,1,1,4,8,4,20,50,2000,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0,2,1,39.9788399774376,32.7090339069187,6,1723,1875,83,0,100,115000,3,1,1,4,7,6,20,50,2000,0,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0
0,2,1,39.9711157287466,32.7045015208021,6,1723,1875,68,0,85,115000,2,1,1,3,5,1,24,60,1996,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,1,39.979290544858,32.7064275741577,6,1723,1875,119,0,136,115000,4,1,2,5,13,6,4,60,2016,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
